Simulation,Max Windspeed (mph),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (°N),Polaris Rocket Landing Longitude (°E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (m/s)
2025-08-01 11:00:00,42.196205000000006,273.52136,9.581500000000005,1027.1,70331.44031821839,2.644647275259914,2.9570602622014714,1.666100888924683,7.017356214391708,5.4892606643563076,47.945111713283595,-81.93951706021959,-16171.522741308092,-7386.120544033484,102.55182045966163,
2025-08-01 12:00:00,40.303116,274.61057,11.931500000000028,1027.1,70630.3830907282,2.639205595942805,3.2354146479252908,1.6654295007105602,7.0173162342343565,5.407411934525146,47.94606066966395,-81.93555584478875,-15200.376918746855,-7040.752266755513,97.88534167300615,
2025-08-01 13:00:00,40.82064,270.0,14.081500000000005,1027.2,70480.47729608412,2.6336308598536737,3.3710695696578985,1.673241542638921,7.006987614880254,5.409242542887449,47.94099493500903,-81.9353216898489,-15144.467914702715,-8888.747703159379,98.72898765227005,
2025-08-01 14:00:00,41.473648,270.89514,15.531500999999992,1026.9,70778.17156228582,2.6305839948448355,3.5299060812470926,1.7863960149066427,6.985340908700521,5.306739389770963,47.93760312350899,-81.93443877602027,-14929.031004192424,-10126.231208289957,95.01230533022745,
2025-08-01 15:00:00,41.473648,270.89514,17.381500000000017,1026.3,70711.41629215963,2.626469264359721,3.461319518192389,1.715411967943786,7.018825343456737,5.472881883076478,47.93545423484047,-81.93714603029788,-15593.303346893004,-10909.59633824178,95.72122136074928,
2025-08-01 16:00:00,42.240955,274.39862,19.131500000000017,1026.4,70514.99546057046,2.6225137239056546,3.322198675583615,1.7217840533055224,7.009226688712783,5.303188951668089,47.93555793465808,-81.94055233779872,-16428.28932416926,-10871.060449696188,97.34449583618897,
2025-08-01 17:00:00,42.07664,279.75235,20.831500000000005,1025.7,70399.9034621472,2.619264895768146,3.0590315224624534,1.7995747970309162,7.002258406566245,5.70749134056266,47.93832831066307,-81.94140402024385,-16636.180623439486,-9860.26273626593,98.15817960448668,
2025-08-01 18:00:00,40.282275999999996,281.12915,21.731498999999985,1025.4,70297.60737052438,2.6177990016903814,2.8503792625912894,1.7199151091242038,7.020554554696321,5.590264228046331,47.942236931555755,-81.94125805941496,-16599.150500644137,-8434.453771430872,98.8494533528396,
2025-08-01 19:00:00,48.357838,324.8192,22.131500000000017,1025.4,69924.68856275521,2.6169133661003805,2.6502836880736265,1.7302529079122433,6.999692774633137,5.388046340594033,47.94054929979365,-81.94314861735371,-17063.094768396186,-9049.67893383017,102.7814272194242,
2025-08-02 11:00:00,48.52251,325.8855,13.181500000000028,1023.4,69026.8646358493,2.637510855909978,2.3200526146207916,1.6896005835038876,7.018715415057462,4.877254474063618,47.93668972412881,-81.95889374258768,-20924.01675271675,-10453.751226534441,117.45380230884729,
2025-08-02 12:00:00,48.901733,327.99466,14.331500000000005,1022.9,69390.47997433247,2.634841843339362,2.532035499961787,1.6997762869385273,7.017768726095791,4.751607782073156,47.933852894170954,-81.95753501902324,-20592.07512906683,-11488.973508459925,114.08771456078696,
2025-08-02 14:00:00,48.703873,326.94415,18.831500000000005,1022.4,69552.9477200184,2.6244382735472156,2.7727152005063553,1.8192693368815633,7.012689164964888,4.9377167504050234,47.92798184449378,-81.95906671430531,-20969.938677715712,-13630.27923565261,111.86187868074092,
2025-08-02 15:00:00,49.060307,326.3099,20.681500000000028,1021.6,69805.38810698298,2.61987757576697,2.9472610934567465,1.6998812352752042,6.988728348812224,4.8145348470685345,47.92385709772972,-81.9584682347595,-20824.86285753218,-15135.119069079685,109.58036447338746,
2025-08-02 16:00:00,47.15788,347.3004,22.181500000000028,1021.3,69694.50514356596,2.6164575227562623,2.823653500172893,1.7266881159592307,7.009983632330062,4.726659775744692,47.92517409515719,-81.9617472614089,-21628.31058920907,-14653.785989581915,110.63354225772021,
2025-08-02 17:00:00,46.04526,346.15927,23.581500000000005,1020.9,69298.33701034944,2.6129281007122658,2.5585907819060973,1.7496209925601556,7.018309161353994,6.065853917968743,47.92856320276,-81.96595986607404,-22659.708024376636,-13416.254927831738,114.29594491419464,
2025-08-02 18:00:00,43.85503,347.19574,24.531499999999994,1020.5,69316.8766546819,2.6112529011598307,2.582292408522249,1.737027770983994,7.015369950278056,4.338609789593814,47.93044254708975,-81.96658674122261,-22812.57328541034,-12730.498629421942,113.95658401569779,
2025-08-02 19:00:00,45.119614,347.56046,24.731498999999985,1020.0,69223.54158253579,2.611777331413815,2.3511816004446504,1.7720388273838656,7.0196835559320965,5.958348556136817,47.934804059146906,-81.968021494867,-23162.37311066785,-11139.021435406998,114.88409301299399,
