Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2021-08-01 11:00:00+00:00,22.46423,300.0,7.881500000000017,1013.8,66961.8902988034,2.4500820529576735,3.616755069042662,2.7694045137256706,7.270746389810408,4.979231616643904,47.942641414577714,-81.8990815527055,-6261.345505717874,-8293.14949709543,210.63650558650053,
2021-08-01 12:00:00+00:00,20.895653,300.0,10.581500000000005,1014.4,66948.7367089615,2.444366190643831,3.755620266075317,2.778673872034951,7.244950837226618,4.905176987078108,47.9331774084032,-81.91013757681827,-8972.870953453785,-11744.467433262827,205.63365654771277,
2021-08-01 13:00:00+00:00,19.449196,300.0,12.931500000000028,1015.1,66895.36523741578,2.4397266435686835,4.033648633472969,2.794901634496789,7.247440495278493,4.888853123945955,47.92508228369747,-81.91788312971677,-10873.38888194515,-14696.516794921248,204.97844106326815,
2021-08-01 14:00:00+00:00,19.589005,300.0,15.381500000000017,1015.4,66591.44497367251,2.434944464958067,3.7606097340658393,2.807251766268971,7.258733468935513,5.119787661999154,47.92129866069785,-81.92588045686266,-12835.174278546527,-16075.526136457343,220.2526789174755,
2021-08-01 15:00:00+00:00,20.28394,29.999999999999996,17.481498999999985,1015.7,66308.76238271108,2.430777067959455,3.571423848845629,2.818906036221611,7.259477901831051,5.195755886021592,47.91780163641121,-81.93053130662618,-13976.532375583916,-17350.406128628292,232.72202959290135,
2021-08-01 16:00:00+00:00,22.60396,29.999999999999996,18.181500000000028,1015.8,65992.93393653983,2.4291053444800927,3.3488542532509427,2.815056934579843,7.266848176961332,5.276177719190465,47.91825109183,-81.93494346737666,-15058.36285426502,-17185.618102519024,250.89166627666606,
2021-08-01 17:00:00+00:00,23.32608,0.0,18.881500000000017,1016.2,65807.19262517012,2.4273411300017322,3.251360914978604,2.8296599393557305,7.2790688987551535,6.289106222914756,47.92061491673507,-81.93238634264684,-14430.646335641577,-16323.801330265398,257.8596032527022,
2021-08-02 11:00:00+00:00,34.80264,340.0,8.131500000000017,1017.3,65265.05216129232,2.4472745441627635,3.9682051828414924,2.7833032135569566,7.222735966589711,5.7914328354092985,47.8806230019213,-81.87382698222291,-71.40652180160487,-30918.00712615867,302.66417495212653,
2021-08-02 12:00:00+00:00,34.292236,340.0,11.98150099999998,1017.6,64546.42044041278,2.4396721152990715,3.6273918937210063,2.788954104403267,7.276486493358002,5.461537563691627,47.887864364942814,-81.87763788441247,-1006.4548214442489,-28276.401832822325,324.83018979235715,
2021-08-02 13:00:00+00:00,32.610455,340.0,14.831500000000005,1017.5,64373.38429281648,2.435024111545667,3.6621205334236757,2.805768386167194,7.276230709680072,5.471062854784137,47.894188109978934,-81.86749413164344,1482.2765303988622,-25969.527236884864,326.52143833230235,
2021-08-02 14:00:00+00:00,30.204325,340.0,17.381500000000017,1016.1,64557.96935715841,2.4306962128118337,3.76494040409784,2.8124454613776213,7.2765772924210514,5.467936236809148,47.896604951145626,-81.86645317720291,1737.5772942529484,-25087.863690448645,319.3338997040553,
2021-08-02 15:00:00+00:00,27.2523,330.0,19.131500000000017,1016.5,63962.69000984568,2.4268233747850037,3.516394684826309,2.825193794670784,7.277769826139318,6.384480115490943,47.89748226706376,-81.86891128515653,1134.5284137057597,-24767.872418149913,341.012166077458,
2021-08-02 16:00:00+00:00,29.337032,330.0,20.031499999999994,1015.7,63593.089060318045,2.4256283057859855,3.2456150539234554,2.8259660988220774,7.222075295951657,6.041838762431197,47.904710745148854,-81.87358457284094,-11.914160463593646,-22131.020252257247,354.65824975444366,
2021-08-02 17:00:00+00:00,30.721146,330.0,21.131500000000017,1015.4,63809.42632548411,2.425096435740581,3.299619111976611,2.826803972827858,7.2727219267279475,5.4391232976119985,47.90920992798429,-81.87356162050145,-6.28376472132403,-20489.755665456454,345.98601343711874,
2021-08-02 18:00:00+00:00,29.727974,340.0,21.431500000000028,1014.9,63980.13126642451,2.4251689530756892,3.37703796893872,2.8278128411024723,7.276584422079625,5.9255807367292235,47.908052966554926,-81.86921097290795,1060.7933883789883,-20911.775996885935,339.97116406541164,
2021-08-02 19:00:00+00:00,30.176512,350.0,22.381500000000017,1014.2,63943.61547930003,2.4247188567850513,3.3419164442338616,2.825268401700424,7.26748072721844,5.895194892714963,47.906281958757,-81.87269763648061,205.6312731359928,-21557.853590632087,342.5964727100203,
2021-08-03 11:00:00+00:00,32.05863,280.0,13.631500000000017,1013.4,63030.80488315127,2.442311841323164,3.2085795809587743,2.7840108451020797,7.277278321247008,5.80107744677158,47.93741129755261,-81.80762599180824,16156.507844678561,-10195.199348428723,373.2984149849404,
2021-08-03 12:00:00+00:00,31.775824,290.0,15.031500999999992,1013.7,64205.839335957295,2.4399232417815946,3.6314873997975896,2.7968949004290877,7.223369283091393,6.234067874750738,47.93224983115177,-81.80063285823825,17872.51172803761,-12076.525937835848,329.9346462031507,
